call_no,incident_type,type_description,address,alarm_time,latitude,longitude
F160029985,111,Building fire,"800 BLOCK CENTER ST, WILKINSBURG PA 15221",2016-04-21T05:01:04,40.44127547,-79.88248508
F180022058,111,Building fire,"1100 BLOCK JANE ST, WILKINSBURG PA 15221",2018-03-13T08:34:43,40.43634228,-79.88100295
F180022102,131,Passenger vehicle fire,"SB STATE HWY 28 SB AT 31S, PITTSBURGH PA 15212",2018-03-13T11:54:23,,
F170043431,131,Passenger vehicle fire,"1700 BLOCK BELLEAU DR, PITTSBURGH PA 15212",2017-05-31T08:39:47,40.46030258,-80.00698007
F180021111,111,Building fire,"2400 BLOCK VILLAGE RD, PITTSBURGH PA 15205",2018-03-09T10:26:42,40.4490093,-80.07660742
F180021782,150,"Outside rubbish fire, Other","S 7TH ST & E CARSON ST, PITTSBURGH PA 15203",2018-03-12T09:13:28,40.42861769,-79.99223882
F180022495,113,"Cooking fire, confined to container","200 BLOCK E OHIO ST, PITTSBURGH PA 15212",2018-03-14T19:46:10,40.45302239,-80.00366043
F180022546,111,Building fire,"7000 BLOCK LEMINGTON AVE, PITTSBURGH PA 15206",2018-03-14T23:49:22,40.47135812,-79.89824
F180022773,111,Building fire,"100 BLOCK SPENCER AVE, PITTSBURGH PA 15227",2018-03-15T20:39:05,40.38549396,-79.97720011
F170044316,131,Passenger vehicle fire,"1200 BLOCK WESTFIELD ST, PITTSBURGH PA 15216",2017-06-03T01:31:13,40.41521902,-80.01951585
